; DATA symbol #5 re (17.01.2003)
 0.058, -0.028, -0.027,  0.049,
 0.174,  0.134,  0.060, -0.010,
-0.084, -0.074, -0.163, -0.052,
 0.076,  0.043,  0.058,  0.003,
 0.059,  0.023,  0.007,  0.066,
-0.135, -0.056,  0.089,  0.120,
 0.102, -0.141,  0.006,  0.057,
-0.059,  0.132,  0.012,  0.047,
 0.160, -0.076, -0.049,  0.005,
-0.052, -0.073, -0.129, -0.153,
-0.193, -0.107,  0.004, -0.039,
-0.054,  0.024,  0.052,  0.028,
 0.040, -0.002,  0.001, -0.037,
-0.106,  0.002, -0.008,  0.019,
 0.016, -0.065,  0.142,  0.087,
-0.003,  0.107, -0.054, -0.030,
