; DATA symbol #5 im (17.01.2003)
-0.020,  0.007, -0.099, -0.075,
 0.031,  0.156,  0.077, -0.022,
 0.040,  0.011,  0.054, -0.008,
-0.042,  0.101, -0.018, -0.090,
-0.018, -0.031, -0.017, -0.017,
-0.098, -0.081,  0.154,  0.122,
 0.001,  0.102, -0.011, -0.039,
 0.066,  0.111,  0.114, -0.106,
-0.099,  0.084,  0.073, -0.086,
-0.108,  0.129, -0.034, -0.111,
 0.098, -0.068, -0.009,  0.024,
-0.079,  0.084, -0.002, -0.044,
 0.018,  0.041,  0.071, -0.117,
-0.062,  0.057, -0.011,  0.072,
 0.059, -0.077, -0.062,  0.025,
-0.103, -0.152,  0.036, -0.003,
