; DATA symbol #4 re (16.01.2003)
-0.091, -0.110,  0.074,  0.124,
-0.037,  0.015,  0.028, -0.062,
 0.064,  0.078,  0.009,  0.147,
 0.106, -0.080, -0.049, -0.036,
-0.089, -0.070, -0.086, -0.066,
-0.024, -0.030, -0.032, -0.002,
 0.158,  0.141, -0.146, -0.155,
-0.002,  0.018,  0.012, -0.008,
 0.031,  0.023,  0.014,  0.050,
-0.072, -0.023,  0.024, -0.127,
 0.094,  0.183, -0.040,  0.065,
 0.088, -0.039, -0.057, -0.077,
 0.030,  0.034,  0.004,  0.126,
 0.055, -0.020,  0.008, -0.034,
-0.040, -0.056,  0.014,  0.045,
-0.113, -0.065,  0.065,  0.011,
